,factors,regularization,precision,mean_avg_precision,area_under_roc
14,20,0.001,0.10024096385542168,0.046758386945776706,0.8515818040906417
15,20,0.01,0.09867469879518072,0.04673015639726401,0.8500515257073598
16,20,0.1,0.10032128514056225,0.04589912340849293,0.849262721086957
18,20,1.0,0.09710843373493976,0.045362771635644186,0.848716173742181
20,20,10.0,0.09662650602409639,0.04420551421130127,0.848625672439731
17,20,0.5,0.09791164658634538,0.04651762996146817,0.8484524800482579
7,10,0.001,0.07461847389558234,0.0338269124661321,0.8478300251130094
8,10,0.01,0.07485943775100401,0.03326539246319893,0.8473473723218355
19,20,5.0,0.0972289156626506,0.042952454099665346,0.8467128946489911
10,10,0.5,0.0714859437751004,0.0306347670264117,0.8457640361658341
13,10,10.0,0.07481927710843374,0.031464979600727,0.8455878652633959
11,10,1.0,0.07244979919678715,0.029942917060421532,0.8454767563430177
9,10,0.1,0.07493975903614458,0.031243216399190886,0.845361607287134
12,10,5.0,0.07196787148594377,0.03001834648329364,0.845160121241413
21,40,0.001,0.12172690763052209,0.060588500442997795,0.8419944899217489
0,5,0.001,0.049558232931726905,0.01767854951827618,0.8414554767220868
1,5,0.01,0.05056224899598394,0.018218572368980255,0.84131476105231
2,5,0.1,0.048353413654618475,0.01761866891772098,0.841153436991527
22,40,0.01,0.1210843373493976,0.06024122608530678,0.8410482931588246
23,40,0.1,0.12104417670682731,0.05769855196277157,0.8409240668462717
27,40,10.0,0.11871485943775101,0.05857948497912125,0.8408422481645836
4,5,1.0,0.048714859437751,0.01772304747585837,0.8400055792642159
25,40,1.0,0.12088353413654618,0.05957251142078085,0.8388602227597081
24,40,0.5,0.11867469879518072,0.05774385011901542,0.8388280597605252
5,5,5.0,0.046987951807228916,0.016825967990540328,0.838819642070346
6,5,10.0,0.0455421686746988,0.016695778789308367,0.8385507782062063
26,40,5.0,0.11538152610441767,0.05640574224072903,0.8385428540004165
3,5,0.5,0.044457831325301206,0.01472327167019632,0.8374713723068937
34,60,10.0,0.12995983935742972,0.06455451231024419,0.8329679081499185
29,60,0.01,0.13140562248995985,0.06488003136041055,0.8309827885164054
28,60,0.001,0.13136546184738956,0.06506053712127341,0.8306935768371695
32,60,1.0,0.13012048192771083,0.06543121088618223,0.8301473683877119
33,60,5.0,0.12907630522088354,0.06521108039571444,0.8297293467932445
30,60,0.1,0.1285140562248996,0.06433126701121623,0.829283056284502
31,60,0.5,0.13096385542168676,0.06560172204517438,0.828673602816749
41,80,10.0,0.13939759036144578,0.07090446518577025,0.824862882964788
37,80,0.1,0.1363855421686747,0.06989448856925712,0.8223275103246427
36,80,0.01,0.1363855421686747,0.07025856378865633,0.8223108014624532
40,80,5.0,0.13393574297188754,0.06902539006788343,0.8220569262239632
38,80,0.5,0.13690763052208835,0.07076916958530712,0.8212762078822894
35,80,0.001,0.13991967871485944,0.07201506309944365,0.8202756531499121
39,80,1.0,0.1380722891566265,0.07058044758193568,0.819372497136375
48,100,10.0,0.142289156626506,0.07351896153207872,0.8182761143015475
43,100,0.01,0.14269076305220885,0.07495698138141922,0.8135685790336897
45,100,0.5,0.14164658634538152,0.07413817067256209,0.8130722693983521
44,100,0.1,0.1406425702811245,0.07249847317555645,0.8125935354222731
47,100,5.0,0.1419277108433735,0.07337577440283566,0.8121796346787322
46,100,1.0,0.14116465863453814,0.0738764709531905,0.810987166811879
42,100,0.001,0.14775100401606425,0.07697382938178789,0.8109527591167428
55,150,10.0,0.1514859437751004,0.08004472718813546,0.8067769635719302
62,180,10.0,0.15333333333333332,0.08069585040760083,0.8027525838749799
52,150,0.5,0.14899598393574298,0.08061008842837541,0.7996324854824294
54,150,5.0,0.14951807228915662,0.07893492458665527,0.799439535501024
53,150,1.0,0.14718875502008033,0.07816807004472341,0.7979063171559998
51,150,0.1,0.14779116465863454,0.07927160519835783,0.7977987866160179
61,180,5.0,0.14963855421686748,0.07946268370127497,0.795220333926769
50,150,0.01,0.14947791164658636,0.08125276739639603,0.7945824153359681
49,150,0.001,0.1491566265060241,0.08023504990408645,0.7932729521312522
59,180,0.5,0.15285140562248997,0.08244125822250824,0.791304278568669
58,180,0.1,0.14991967871485945,0.08146458710694807,0.7896677433700824
60,180,1.0,0.1499598393574297,0.08108118066258493,0.7896355816791838
57,180,0.01,0.14883534136546184,0.08291375243976642,0.7866025535487494
56,180,0.001,0.14983935742971888,0.0836550294704504,0.7826828600371656
